source,target,type,value,attribute,cluster,notes,notesPosition,aandachtspunt
,,,3,co2_CCS_blauweH2_scope1,Noordzee-Kanaal-Gebied-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,2,co2_CCS_overige_scope1,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,0,co2_circulair_scope1,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,0,co2_overigebroeikasgassen_scope1,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,0,co2_restwarmte_scope1,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,4,co2_elektrificatie_scope1,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,-0.9,co2_CCS_blauweH2_scope2,Noordzee-Kanaal-Gebied-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0.4,co2_CCS_overige_scope2,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,0.00,co2_groeneH2_scope2,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,-1,co2_elektrificatie_scope2,Noordzee-Kanaal-Gebied-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,co2_circulair_scope3,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,3,co2_groenewaterstof_scope3,Noordzee-Kanaal-Gebied-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0.7,co2_restwarmte_scope3,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,0,co2_elektrificatie_scope3,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,0,co2_nieuwebedrijven,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
